title="Potential"
variables = "x","y","V"
zone i=101,j=101,f=point
55 9 -1.12868
56 9 -1.12153
57 9 -1.11285
58 9 -1.10268
59 9 -1.09107
60 9 -1.07805
61 9 -1.06369
62 9 -1.04803
63 9 -1.03115
64 9 -1.01309
65 9 -0.993933
66 9 -0.973738
67 9 -0.952569
68 9 -0.930489
69 9 -0.907564
70 9 -0.883864
71 9 -0.859449
72 9 -0.834386
73 9 -0.808723
74 9 -0.782521
75 9 -0.755835
76 9 -0.728721
77 9 -0.701221
78 9 -0.673385
79 9 -0.645254
80 9 -0.616864
81 9 -0.588249
82 9 -0.559447
83 9 -0.530486
84 9 -0.501389
85 9 -0.47218
86 9 -0.442882
87 9 -0.413515
88 9 -0.38409
89 9 -0.354625
90 9 -0.325127
91 9 -0.295605
92 9 -0.26607
93 9 -0.236528
94 9 -0.206976
95 9 -0.17742
96 9 -0.14786
97 9 -0.1183
98 9 -0.0887366
99 9 -0.0591656
100 9 -0.0295884
101 9 0
1 10 0
2 10 -0.0332211
3 10 -0.0664364
4 10 -0.0996492
5 10 -0.132862
6 10 -0.166079
7 10 -0.1993
8 10 -0.232521
9 10 -0.265746
10 10 -0.298971
11 10 -0.332191
12 10 -0.365402
13 10 -0.398596
14 10 -0.431763
15 10 -0.464892
16 10 -0.49797
17 10 -0.530975
18 10 -0.563891
19 10 -0.596691
20 10 -0.62935
21 10 -0.661842
22 10 -0.694133
23 10 -0.726185
24 10 -0.757959
25 10 -0.789412
26 10 -0.820493
27 10 -0.851153
28 10 -0.881338
29 10 -0.910991
30 10 -0.940049
31 10 -0.96845
32 10 -0.996122
33 10 -1.02299
34 10 -1.049
35 10 -1.07406
36 10 -1.09811
37 10 -1.12105
38 10 -1.14283
39 10 -1.16336
40 10 -1.18257
41 10 -1.20039
42 10 -1.21675
43 10 -1.23158
44 10 -1.24483
45 10 -1.25643
46 10 -1.26634
47 10 -1.27451
48 10 -1.2809
49 10 -1.2855
50 10 -1.28827
51 10 -1.28921
52 10 -1.28831
53 10 -1.28557
54 10 -1.281
55 10 -1.27463
56 10 -1.26649
57 10 -1.25661
58 10 -1.24504
59 10 -1.23182
60 10 -1.21702
61 10 -1.20069
62 10 -1.18289
63 10 -1.1637
64 10 -1.14319
65 10 -1.12144
66 10 -1.09851
67 10 -1.07449
68 10 -1.04944
69 10 -1.02346
70 10 -0.996596
71 10 -0.968939
72 10 -0.940554
73 10 -0.911503
74 10 -0.881856
75 10 -0.851675
76 10 -0.821021
77 10 -0.78994
78 10 -0.75849
79 10 -0.726717
80 10 -0.694665
81 10 -0.66237
82 10 -0.629872
83 10 -0.597203
84 10 -0.564392
85 10 -0.531464
86 10 -0.498447
87 10 -0.465357
88 10 -0.43221
89 10 -0.399023
90 10 -0.365809
91 10 -0.332573
92 10 -0.299328
93 10 -0.266078
94 10 -0.232821
95 10 -0.199565
96 10 -0.16631
97 10 -0.133057
98 10 -0.0998016
99 10 -0.0665417
100 10 -0.033275
101 10 0
1 11 0
2 11 -0.0369021
3 11 -0.073797
4 11 -0.110693
5 11 -0.147592
6 11 -0.184498
7 11 -0.22141
8 11 -0.25833
9 11 -0.295258
10 11 -0.332191
11 11 -0.369127
12 11 -0.406057
13 11 -0.442976
14 11 -0.479876
15 11 -0.516741
16 11 -0.553555
17 11 -0.5903
18 11 -0.626954
19 11 -0.663494
20 11 -0.699887
21 11 -0.736107
22 11 -0.772113
23 11 -0.807867
24 11 -0.843325
25 11 -0.878439
26 11 -0.913151
27 11 -0.947406
28 11 -0.981148
29 11 -1.01431
30 11 -1.04682
31 11 -1.07861
32 11 -1.10959
33 11 -1.1397
34 11 -1.16885
35 11 -1.19695
36 11 -1.22392
37 11 -1.24968
38 11 -1.27413
39 11 -1.29719
40 11 -1.31878
41 11 -1.33882
42 11 -1.35721
43 11 -1.37389
44 11 -1.38879
45 11 -1.40185
46 11 -1.41301
47 11 -1.42221
48 11 -1.42941
49 11 -1.43459
