title="iDensity"
variables = "x","y","num"
zone i=100,j=100,f=point
13 15 1.7e+15
14 15 7e+14
15 15 1.2e+15
16 15 1.9e+15
17 15 1.1e+15
18 15 1.9e+15
19 15 1.4e+15
20 15 1.5e+15
21 15 9e+14
22 15 1.2e+15
23 15 7e+14
24 15 1.8e+15
25 15 1.6e+15
26 15 1.9e+15
27 15 1.4e+15
28 15 2.8e+15
29 15 3.4e+15
30 15 1.9e+15
31 15 2e+15
32 15 1.8e+15
33 15 1.1e+15
34 15 1.2e+15
35 15 2e+15
36 15 9e+14
37 15 1.3e+15
38 15 5e+14
39 15 1.2e+15
40 15 7e+14
41 15 4e+14
42 15 9e+14
43 15 5e+14
44 15 4e+14
45 15 4e+14
46 15 7e+14
47 15 4e+14
